Date,Open,High,Low,Close,Adj Close,Volume
2017-06-20,118.440002,118.440002,118.440002,118.440002,118.440002,4851
2017-06-21,117.570000,117.570000,117.570000,117.570000,117.570000,5151
2017-06-22,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-06-23,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-06-26,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-06-27,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-06-28,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-06-29,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-06-30,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-03,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-04,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-05,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-06,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-07,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-10,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-11,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-12,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-13,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-14,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-17,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-18,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-19,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-20,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-21,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-24,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-25,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-26,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-27,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-28,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-07-31,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-08-02,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-08-03,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-08-04,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-08-07,117.570000,117.570000,117.570000,117.570000,117.570000,0
2017-08-08,117.570000,117.570000,117.570000,117.570000,117.570000,0
